HWT,CWT,WBT,LG,ALT,KaVL
54.61,37.74,20.00,1.487,0.0,0.59423
54.64,37.76,20.00,1.488,0.0,0.59348
54.67,37.78,20.00,1.489,0.0,0.59273
54.70,37.80,20.00,1.490,0.0,0.59199
54.73,37.82,20.00,1.491,0.0,0.59125
54.76,37.84,20.00,1.492,0.0,0.59051
54.79,37.86,20.00,1.493,0.0,0.58977
54.82,37.88,20.00,1.494,0.0,0.58903
54.85,37.90,20.00,1.495,0.0,0.58829
54.88,37.92,20.00,1.496,0.0,0.58755
54.91,37.94,20.00,1.497,0.0,0.58682
54.94,37.96,20.00,1.498,0.0,0.58608
54.97,37.98,20.00,1.499,0.0,0.58535
55.00,38.00,20.00,1.500,0.0,0.58462
55.03,38.02,20.00,1.501,0.0,0.58389
55.06,38.04,20.00,1.502,0.0,0.58316
55.09,38.06,20.00,1.503,0.0,0.58243
55.12,38.08,20.00,1.504,0.0,0.5817
55.15,38.10,20.00,1.505,0.0,0.58098
55.18,38.12,20.00,1.506,0.0,0.58025
55.21,38.14,20.00,1.507,0.0,0.57953
55.24,38.16,20.00,1.508,0.0,0.57881
55.27,38.18,20.00,1.509,0.0,0.57809
55.30,38.20,20.00,1.510,0.0,0.57737
55.33,38.22,20.00,1.511,0.0,0.57665
55.36,38.24,20.00,1.512,0.0,0.57593
55.39,38.26,20.00,1.513,0.0,0.57521
55.42,38.28,20.00,1.514,0.0,0.5745
55.45,38.30,20.00,1.515,0.0,0.57378
55.48,38.32,20.00,1.516,0.0,0.57307
55.51,38.34,20.00,1.517,0.0,0.57236
55.54,38.36,20.00,1.518,0.0,0.57164
55.57,38.38,20.00,1.519,0.0,0.57093
55.60,38.40,20.00,1.520,0.0,0.57023
55.63,38.42,20.00,1.521,0.0,0.56952
55.66,38.44,20.00,1.522,0.0,0.56881
55.69,38.46,20.00,1.523,0.0,0.5681
55.72,38.48,20.00,1.524,0.0,0.5674
55.75,38.50,20.00,1.525,0.0,0.5667
55.78,38.52,20.00,1.526,0.0,0.56599
55.81,38.54,20.00,1.527,0.0,0.56529
55.84,38.56,20.00,1.528,0.0,0.56459
55.87,38.58,20.00,1.529,0.0,0.56389
55.90,38.60,20.00,1.530,0.0,0.56319
55.93,38.62,20.00,1.531,0.0,0.5625
55.96,38.64,20.00,1.532,0.0,0.5618
55.99,38.66,20.00,1.533,0.0,0.56111
56.02,38.68,20.00,1.534,0.0,0.56041
56.05,38.70,20.00,1.535,0.0,0.55972
56.08,38.72,20.00,1.536,0.0,0.55903
56.11,38.74,20.00,1.537,0.0,0.55834
56.14,38.76,20.00,1.538,0.0,0.55765
56.17,38.78,20.00,1.539,0.0,0.55696
56.20,38.80,20.00,1.540,0.0,0.55627
56.23,38.82,20.00,1.541,0.0,0.55559
56.26,38.84,20.00,1.542,0.0,0.5549
56.29,38.86,20.00,1.543,0.0,0.55422
56.32,38.88,20.00,1.544,0.0,0.55353
56.35,38.90,20.00,1.545,0.0,0.55285
56.38,38.92,20.00,1.546,0.0,0.55217
56.41,38.94,20.00,1.547,0.0,0.55149
56.44,38.96,20.00,1.548,0.0,0.55081
56.47,38.98,20.00,1.549,0.0,0.55013
56.50,39.00,20.00,1.550,0.0,0.54945
56.53,39.02,20.00,1.551,0.0,0.54878
56.56,39.04,20.00,1.552,0.0,0.5481
56.59,39.06,20.00,1.553,0.0,0.54743
56.62,39.08,20.00,1.554,0.0,0.54676
