dbt,wbt,alt,dp_bin,dp_js,dp_ok,h_bin,h_js,h_ok,hr_bin,hr_js,hr_ok
45.1,29.5,1000,25.38,25.38,1,105.7015,105.7016,0,0.0234,0.0234,1
28.0,18.9,1000,14.61,14.61,1,58.191,58.191,1,0.0118,0.0118,1
28.3,26.1,1000,25.46,25.46,1,88.4086,88.4085,0,0.0235,0.0235,1
44.0,40.7,1000,40.25,40.25,1,190.7032,190.7057,0,0.0568,0.0568,1
31.1,14.5,1000,1.87,1.87,1,43.8043,43.8044,0,0.0049,0.0049,1
47.3,31.6,1000,27.92,27.92,1,118.2065,118.2067,0,0.0273,0.0273,1
42.6,29.4,1000,25.95,25.95,1,105.247,105.247,1,0.0242,0.0242,1
46.5,34.5,1000,32.15,32.15,1,137.8811,137.8816,0,0.0352,0.0352,1
47.1,34.5,1000,32.03,32.03,1,137.8469,137.8475,0,0.035,0.035,1
21.2,18.0,1000,16.53,16.53,1,55.2109,55.2109,1,0.0133,0.0133,1
41.3,23.8,1000,17.1,17.1,1,77.217,77.217,1,0.0138,0.0138,1
25.7,22.7,1000,21.65,21.65,1,73.0175,73.0175,1,0.0185,0.0185,1
27.8,24.6,1000,23.59,23.59,1,81.3047,81.3047,1,0.0209,0.0209,1
32.8,15.6,1000,3.52,3.52,1,47.1024,47.1024,1,0.0055,0.0055,1
40.1,24.7,1000,19.27,19.27,1,81.3041,81.304,0,0.0159,0.0159,1
53.9,44.8,1000,43.77,43.77,1,235.0139,235.0195,0,0.0696,0.0696,1
19.9,12.8,1000,7.97,7.97,1,39.1154,39.1155,0,0.0075,0.0075,1
33.3,21.1,1000,15.88,15.88,1,66.2667,66.2666,0,0.0128,0.0128,1
15.9,13.9,1000,12.75,12.75,1,42.3183,42.3183,1,0.0104,0.0104,1
42.0,28.6,1000,24.93,24.93,1,100.8039,100.8039,1,0.0227,0.0227,1
42.2,40.2,1000,39.92,39.92,1,185.95,185.9523,0,0.0557,0.0557,1
51.3,47.8,1500,47.48,47.48,1,291.3232,291.338,0,0.0924,0.0924,1
53.1,46.1,1500,45.41,45.41,1,266.1665,266.1771,0,0.0819,0.0819,1
36.9,21.0,1500,14.33,14.33,1,68.6828,68.6826,0,0.0123,0.0123,1
29.1,16.1,1500,8.76,8.76,1,50.8505,50.8505,1,0.0084,0.0084,1
51.9,46.0,1500,45.42,45.42,1,264.8708,264.8812,0,0.082,0.082,1
15.4,12.7,1500,11.12,11.12,1,40.5793,40.5794,0,0.0099,0.0099,1
25.1,14.9,1500,8.95,8.95,1,47.0558,47.0558,1,0.0086,0.0086,1
40.8,28.9,1500,25.94,25.94,1,107.3859,107.3855,0,0.0258,0.0258,1
46.1,35.4,1500,33.55,33.55,1,151.9593,151.9598,0,0.0409,0.0409,1
50.6,37.2,1500,35.07,35.07,1,166.8448,166.8459,0,0.0447,0.0447,1
16.5,11.3,1500,7.8,7.8,1,36.6231,36.6233,0,0.0079,0.0079,1
19.8,17.9,1500,17.09,17.09,1,57.2772,57.2771,0,0.0147,0.0147,1
25.7,10.3,1500,-4.41,-4.41,1,33.8367,33.8369,0,0.0031,0.0031,1
23.4,15.9,1500,12.0,12.0,1,50.3126,50.3126,1,0.0105,0.0105,1
26.1,19.8,1500,17.27,17.27,1,64.2149,64.2147,0,0.0149,0.0149,1
18.2,15.3,1500,13.84,13.84,1,48.4682,48.4682,1,0.0119,0.0119,1
36.6,16.8,1500,4.58,4.58,1,53.0326,53.0326,1,0.0063,0.0063,1
18.8,12.7,1500,8.89,8.89,1,40.5255,40.5257,0,0.0085,0.0085,1
23.8,16.2,1500,12.32,12.32,1,51.2978,51.2978,1,0.0107,0.0108,0
39.2,22.5,1500,16.1,16.1,1,74.9459,74.9456,0,0.0138,0.0138,1
27.4,19.6,1500,16.37,16.37,1,63.4033,63.4031,0,0.014,0.0141,0
43.5,36.8,1500,35.74,35.74,1,163.802,163.8029,0,0.0465,0.0465,1
37.4,19.5,1500,10.9,10.9,1,62.7421,62.7419,0,0.0098,0.0098,1
25.8,16.4,1500,11.52,11.52,1,51.9229,51.9229,1,0.0102,0.0102,1
22.4,18.7,1500,17.16,17.16,1,60.1333,60.1331,0,0.0148,0.0148,1
54.5,53.8,1500,53.75,53.75,1,401.1339,401.1771,0,0.1332,0.1332,1
51.4,44.2,1500,43.42,43.42,1,240.9792,240.9864,0,0.073,0.073,1
28.7,16.3,1500,9.47,9.47,1,51.5241,51.5241,1,0.0089,0.0089,1
39.3,24.3,1500,19.27,19.27,1,83.1336,83.1332,0,0.0169,0.017,0
50.3,46.7,1500,46.36,46.36,1,274.9687,274.9806,0,0.0866,0.0866,1
16.5,12.9,1500,10.78,10.78,1,41.143,41.1431,0,0.0097,0.0097,1
15.9,14.4,1500,13.62,13.62,1,45.6682,45.6682,1,0.0117,0.0117,1
25.2,21.1,1500,19.61,19.61,1,69.4518,69.4516,0,0.0173,0.0173,1
22.9,13.4,1500,7.33,7.33,1,42.5081,42.5082,0,0.0077,0.0077,1
48.7,36.5,1500,34.5,34.5,1,160.9061,160.907,0,0.0432,0.0432,1
23.7,10.7,1500,-0.52,-0.52,1,34.9141,34.9143,0,0.0043,0.0044,0
31.4,12.7,1500,-3.39,-3.39,1,40.3296,40.3297,0,0.0034,0.0034,1
43.9,36.8,1500,35.67,35.67,1,163.7768,163.7778,0,0.0464,0.0464,1
42.3,37.2,1500,36.41,36.41,1,167.3718,167.3729,0,0.0484,0.0484,1
26.9,17.9,1500,13.69,13.69,1,57.0991,57.099,0,0.0118,0.0118,1
18.6,14.1,1500,11.6,11.6,1,44.6931,44.6932,0,0.0103,0.0103,1
35.9,22.2,1500,17.03,17.03,1,73.752,73.7517,0,0.0147,0.0147,1
27.7,15.8,1500,9.07,9.07,1,49.8933,49.8933,1,0.0086,0.0086,1
22.2,21.6,1500,21.39,21.39,1,71.6342,71.634,0,0.0194,0.0194,1
49.5,32.9,1500,29.51,29.51,1,132.84,132.84,1,0.0321,0.0321,1
25.3,24.0,1500,23.61,23.61,1,82.2291,82.2287,0,0.0223,0.0223,1
49.9,40.1,1500,38.78,38.78,1,194.4076,194.4103,0,0.0557,0.0557,1
30.3,12.4,1500,-3.03,-3.03,1,39.491,39.4911,0,0.0035,0.0035,1
39.4,23.6,1500,18.02,18.02,1,79.8643,79.864,0,0.0156,0.0156,1
33.6,17.7,1500,9.27,9.27,1,56.2226,56.2225,0,0.0088,0.0088,1
35.3,25.6,1500,22.73,22.73,1,89.6421,89.6417,0,0.0211,0.0211,1
35.5,30.9,1500,29.92,29.92,1,119.9867,119.9865,0,0.0328,0.0329,0
25.8,23.4,1500,22.64,22.64,1,79.4276,79.4273,0,0.021,0.021,1
34.5,25.4,1500,22.69,22.69,1,88.6693,88.6689,0,0.021,0.0211,0
48.6,35.0,1500,32.56,32.56,1,148.6239,148.6243,0,0.0385,0.0385,1
54.9,42.5,1500,41.01,41.01,1,220.1308,220.1358,0,0.0634,0.0634,1
39.6,30.1,1500,27.92,27.92,1,114.7026,114.7023,0,0.0291,0.0291,1
21.1,15.8,1500,13.12,13.12,1,50.033,50.033,1,0.0114,0.0113,0
54.2,48.4,1500,47.89,47.89,1,300.4531,300.4696,0,0.0946,0.0946,1
20.3,18.0,1500,17.02,17.02,1,57.6247,57.6246,0,0.0147,0.0147,1
41.3,22.5,1500,15.11,15.11,1,74.8768,74.8765,0,0.0129,0.0129,1
41.7,22.4,1500,14.71,14.71,1,74.4285,74.4282,0,0.0126,0.0126,1
46.6,44.9,1500,44.72,44.72,1,250.4114,250.4198,0,0.0787,0.0787,1
22.2,13.1,1500,7.21,7.21,1,41.6351,41.6352,0,0.0076,0.0076,1
